Title,Excerpt,Pub_Date
I am killing Disqus comment on my blog Here is why,I added the Disqus commenting platform to my blog some time ago And then I found out that it wa loading WAY TOO MANY tracking cooky inline and profiling my website user This is how you build Orwellian software And shitty software,Sep 2017
Posting message to Slack using incoming webhooks and Python3 Requests API,Slack ha become a favorite of DevOpsSRE team across the globe It is a very easytouse and programmatic messaging platform Here is the quick and easy process to posting message to your Slack group from Python,Sep 2017
Using Packer and Ansible to create immutable server deploying code and recycling instance,Packer is an amazing golden image builder Ansible is a great deployment tool So let u use them together,Sep 2017
Getting started with Packer,Packer Basically Docker for whole VMs Another great tool by HashiCorp this one modernises an old formula but retains the simplicity Building immutable server wa never this easy,Sep 2017
The different way I have deployed code over the year the road to Immutable Servers,I took a walk down memory lane to try and figure out how much my daily work ha changed The concept are still the same but the tool have become bigger because our need have shifted dramatically over the year,Sep 2017
Testing AWS Elastic Load Balancer health check endpoint with Python,A quick script for adhoc healthchecking of load balancer instance,Sep 2017
Complete Nginx Monitoring with Collectd and InfluxDB,I recently discovered InfluxDB a a great writeheavy database for storing metric These are my note on monitoring the golden signal in Nginx using Collectd and InfluxDB,Aug 2017
Deploying Jekyll blog automatically using Bitbucket Pipelines,Because why not Here is how to build your Jekyll website and deploy it to a VM of your choice,Aug 2017
Migrating MySQL database table to InfluxDB,If you ever need to migrate a MySQL database to InfluxDB say if you were using MySQL a a metric database because you were too busy not knowing Influx even existed then this handy Python script can do the job and take care of schema migration too,Aug 2017
Backing up InfluxDB database to S3,A handy bash script to backup your InfluxDB database to AWS S3 great for cron job,Aug 2017
Setting Up Grafana to use Collectd and InfluxDB,Grafana provides outofthebox support for InfluxDB so visualising the metric you are collecting using Collectd etc is straightforward Here is how to do it,Aug 2017
Setting up Collectd and InfluxDB on Mac OS X,A quick copypasteable process for installing Collectd and InfluxDB on your Mac for some local testing,Aug 2017
Getting Started with timeseries data using InfluxDB,A quick comparison of relational v timeseries database followed by a brief handson tutorial for InfluxDB on a local Mac OS,Aug 2017
Getting started with server metric collection with Collectd,Collectd a Cbased daemon is a fast and lightweight metric shipper,Aug 2017
Retry Strategies for Transient Failures,A very basic reality of computer networking is that it fails And when it doe there are way to retry your connection to make life easier for you and other client a well,Aug 2017
Using Route 53 a a Load Balancer,AWS Elastic load balancer do their job well but they can get pricey So naturally I tried using Route53 for load balancing traffic It wa a lot harder than I thought and while this experiment did not succeed I am noting my approach here for better luck next time,Aug 2017
MySQL Database backup to S3,A handy bash script to backup all MySQL database to AWS S3,Aug 2017
Mastodon Users and Instances in Sqlite3 Using Python,The title really say it all exporting data from JSON and ingesting into Sqlite3,Apr 2017
The Ultimate Guide to Using Mail in Linux,I installed mutt to send email from the commandline It is fast and the CLI switch are memorable Worth a look if you use the CLI for sending email a lot,Apr 2017
Fixing ValueErrorunknown locale s localename in Python,You get 3 guess for what the solution could be,Mar 2017
Getting Started with Xinetd,Xinetd is a lightweight and straightfoward HTTP server Not a powerful a Nginx but it is great for simple thing like configuring health check,Mar 2017
Getting City Country and ISP of an IP address using Maxmind GeoIP,The Maxmind GeoIP database is useful for looking up the country and ISP information for an IP address,Mar 2017
AWS GCS Azure and Digital Ocean incident by service in 2016,I pulled the data for technology incident for the major cloud service The finding were pretty interesting,Mar 2017
I Have Something to Say II,These have been the confession of a firefighter who ignored the smoke,Mar 2017
Using Weighted Geo and Failover Routeing in Route 53,At work one of my recent project involved setting up a multiregion failover with weightedrouting support Thankfully Route53 ha all of these builtin Here is how to do it,Mar 2017
You still might need a staging server in 2017,It is 2017 and the cloud ha matured by leap and bound So do we still need staging server,Mar 2017
AWS GCS Azure and Digital Ocean incident in 2016,I pulled the data for technology incident on the major cloud platform The finding were pretty interesting,Mar 2017
I Have Something to Say,Ten year from now if or when I am in another job no one is going to care whether I ran my production server with my heart and soul They will care if I saved money they will care if I ran it efficiently but you can do those thing while still compromising your value,Mar 2017
Connecting VPCs in 2 AWS Regions Sitetosite VPN,A stepbystep guide for connecting 2 AWS VPSs using selfhosted StrongSwan VPNs,Feb 2017
Installing PHP 7 FPM MySQL 57 Nginx 110 on Ubuntu 1604,These are instruction for installing PHP7 MySQL 57 and Nginx 110 on Ubuntu 1604 Very copypasteable,Feb 2017
Working with Logical Volume Manager LVM,Some note on Logical Volume Manager What it is why it is and how to use it,Feb 2017
Fiddling with Logrotate,Logrotate is one of those builtin Linux thing that we do not use often enough Rotating log archiving them to S3 pushing them to some remote serverendpoint etc It is all doable with Logrotate,Jan 2017
AWS Route 53 Notes,Route53 what why how why not,Jan 2017
AWS EBS Types ReadWrite Benchmarks,I ran hdparm and dd on GP2 PIOPS SC1 ST1 and Magnetic EBS volume Check out the result,Jan 2017
Logging AWS spot instance termination,AWS spot instance provide 90 saving over ondemand server The downside AWS can yank them whenever they want and you have 2 minute to back thing up How do you know when the starting pistol fire,Oct 2016
Decompressing request using GZIP with Nginx,If you are using a Lua module with Nginx then decompressing GZIPped data requires some extra handling,Oct 2016
Compressing output using GZIP with PHP 53,It is pretty hard to compress output with GZIP in PHP 53 but in case you ever need to here is how,Oct 2016
Introduction to Loadbalancing with Nginx,I will explore the basic of selfhosted loadbalancing with Nginx using a convenient testing setup using Vagrant,Aug 2016
Reading JWT token in Phalcon,Here is how to read a response JSON web token in PHP Phalcon,Aug 2016
Setting Custom 404 Controller in Phalcon,After CodeIgniter Phalcon wa the second PHP framework that I used Blazingly fast and easytouse one of the first thing I did wa create a custom 404 response controller,Aug 2016
DNS Record Types,A quick guide to the different DNS record type,Aug 2016
Securing Nginx with Let u Encrypt Free SSL Certificate,Let u Encrypt is the selfhosted industrystandard method of generating SSL certificate for your application If you are still paying for SSL certificate you are doing it wrong,Aug 2016
Vertical Scaling v Horizontal Scaling,The difference between vertical and horizontal scaling may be simple but they are critical to using cloud technology effectively,Aug 2016
Essential VIM Keyboard Shortcuts,A quick guide of essential VIM shortcut,Aug 2016
Notes on AWS SQS,AWS SQS what why how why not,Aug 2016
MySQL Physical Backup with Innobackupex,Innobackupex part of Percona Xtrabackup can perform physical backup of your MySQL database,Aug 2016
Introduction to MySQL Partitioning,MySQL partitioning basic what why and how,Aug 2016
Introduction to Fluentd,The legacy logging infrastructure we have to deal with today wa designed for human and not machine so a lot of effort is wasted trying to make backend system understand log data,Aug 2016
NANO Keyboard Shortcuts,A quick reference of NANO shortcut,Aug 2016
